#TauBoo RV data
#Data from Butler 2006 , POST 1995 ONLY		
#JD	RV [m/s]	delta_RV [m/s]	Jitter
2449767.0263	-512.723098	18.5	15.0
2449857.715		300.276902	16.6
2449857.7378	318.276902	16.6
2450069.052338	-120.723098	16.6
2450069.074838	-89.723098	17.5
2450072.054039	-362.723098	16.6
2450073.081759	295.276902	16.6
2450173.909074	-597.723098	20.5
2450173.934468	-588.723098	20.5
2450203.812685	-608.723098	17.5
2450203.835394	-624.723098	17.5
2450214.813935	-49.723098	17.5
2450214.836146	-58.723098	16.6
2450215.7075	250.276902	15.6
2450215.730243	251.276902	16.6
2450231.772755	200.276902	21.4
2450232.682766	47.276902	25.4
2450232.903553	-124.723098	21.4
2450233.723333	-658.723098	19.5
2450233.847697	-661.723098	20.5
2450234.672488	-89.723098	18.5
2450234.832766	66.276902	21.4
2450235.72265	200.276902	18.5
2450235.830764	157.276902	19.5
2450263.676285	-640.723098	14.6
2450299.678056	-548.723098	14.6
2450502.99441	-98.723098	17.5
2450503.963565	236.276902	15.6
2450504.799144	-395.723098	17.5
2450504.811157	-393.723098	16.6
2450505.045185	-564.723098	16.6
2450537.907014	-356.723098	17.5
2450563.775093	98.276902	17.5
2450613.749491	-60.723098	15.6
2450614.763553	-639.723098	16.6
2450645.710104	116.276902	14.6
2450655.696516	126.276902	18.5
2450794.069676	-444.723098	15.6
2450977.723981	201.276902	17.5
2450977.736539	159.276902	19.5
2451005.712512	-649.723098	15.6
2451207.02066	-427.723098	14.6
2451303.826725	-708.723098	13.7
2451304.765012	-10.723098	13.7
2451305.765012	112.276902	14.6
2451537.081574	230.276902	14.6
2451541.047211	38.276902	15.6
2451627.847118	-555.723098	16.6
2451628.855197	-477.723098	16.6
2451940.015532	-632.723098	15.6
2451940.041551	-584.723098	17.5
2452041.838519	-545.723098	17.5
2452041.846042	-535.723098	16.6
2452055.829444	-670.723098	14.6
2452333.979201	-678.723098	14.6
2452334.970486	-12.723098	17.5
2452338.9639	183.276902	14.6
2452380.796007	-487.723098	14.6
2452380.815012	-476.723098	15.6


