#TauBoo RV data
#Data from Butler 2006 , POST 1995 ONLY, (161.54448011) offsetSubtracted	
#JD	RV [m/s]	delta_RV [m/s]	Jitter
2449767.0263	-511.54448011	18.5	15.0
2449857.715		301.45551989	16.6
2449857.7378	319.45551989	16.6
2450069.052338	-119.54448011	16.6
2450069.074838	-88.54448011	17.5
2450072.054039	-361.54448011	16.6
2450073.081759	296.45551989	16.6
2450173.909074	-596.54448011	20.5
2450173.934468	-587.54448011	20.5
2450203.812685	-607.54448011	17.5
2450203.835394	-623.54448011	17.5
2450214.813935	-48.54448011	17.5
2450214.836146	-57.54448011	16.6
2450215.7075	251.45551989	15.6
2450215.730243	252.45551989	16.6
2450231.772755	201.45551989	21.4
2450232.682766	48.45551989		25.4
2450232.903553	-123.54448011	21.4
2450233.723333	-657.54448011	19.5
2450233.847697	-660.54448011	20.5
2450234.672488	-88.54448011	18.5
2450234.832766	67.45551989		21.4
2450235.72265	201.45551989	18.5
2450235.830764	158.45551989	19.5
2450263.676285	-639.54448011	14.6
2450299.678056	-547.54448011	14.6
2450502.99441	-97.54448011	17.5
2450503.963565	237.45551989	15.6
2450504.799144	-394.54448011	17.5
2450504.811157	-392.54448011	16.6
2450505.045185	-563.54448011	16.6
2450537.907014	-355.54448011	17.5
2450563.775093	99.45551989		17.5
2450613.749491	-59.54448011	15.6
2450614.763553	-638.54448011	16.6
2450645.710104	117.45551989	14.6
2450655.696516	127.45551989	18.5
2450794.069676	-443.54448011	15.6
2450977.723981	202.45551989	17.5
2450977.736539	160.45551989	19.5
2451005.712512	-648.54448011	15.6
2451207.02066	-426.54448011	14.6
2451303.826725	-707.54448011	13.7
2451304.765012	-9.54448011		13.7
2451305.765012	113.45551989	14.6
2451537.081574	231.45551989	14.6
2451541.047211	39.45551989		15.6
2451627.847118	-554.54448011	16.6
2451628.855197	-476.54448011	16.6
2451940.015532	-631.54448011	15.6
2451940.041551	-583.54448011	17.5
2452041.838519	-544.54448011	17.5
2452041.846042	-534.54448011	16.6
2452055.829444	-669.54448011	14.6
2452333.979201	-677.54448011	14.6
2452334.970486	-11.54448011	17.5
2452338.9639	184.45551989	14.6
2452380.796007	-486.54448011	14.6
2452380.815012	-475.54448011	15.6


#CFHT Data from Donati 2008	, offset ~0 so not subtracted
#JD	RV [m/s]	delta_RV [m/s]	Jitter
2454277.74494	-241.579545	11.04	0.0
2454277.81018	-297.579545	11.04
2454278.74598	-296.579545	11.04
2454278.75739	-293.579545	11.04
2454278.76861	-277.579545	11.04
2454279.73666	420.420455	11.04
2454279.74787	432.420455	11.04
2454279.75913	435.420455	11.04
2454281.83298	-398.579545	11.04
2454281.8442	-391.579545	11.04
2454282.73612	277.420455	11.04
2454282.74732	285.420455	11.04
2454282.75863	289.420455	11.04
2454283.73836	254.420455	11.04
2454283.74973	257.420455	11.04
2454283.76769	244.420455	11.04
2454283.78209	237.420455	11.04
2454283.9196	154.420455	11.04
2454284.74158	-468.579545	11.04
2454284.75763	-470.579545	11.04
2454284.77363	-460.579545	11.04
2454284.85319	-469.579545	11.04
2454285.7922	72.420455	11.04
2454285.80803	99.420455	11.04
2454285.86573	156.420455	11.04
2454285.88171	174.420455	11.04
2454286.74025	404.420455	11.04
2454286.75144	414.420455	11.04
2454286.76265	417.420455	11.04
2454286.78415	406.420455	11.04

